PROJECT	SAMPLE	PATH	TYPE
758	DJM-1							/nfs/cancer_trk0010/00000031/103642.bam		bam
758	DJM-1							/nfs/cancer_trk0002/00000008/103643.bam.bai	bam bai
758	DK-MG							/nfs/cancer_trk0007/00000024/103714.bam		bam
758	DK-MG							/nfs/cancer_trk0007/00000024/103715.bam.bai	bam bai
758	DMS-53							/nfs/cancer_trk0005/00000019/69641.bam		bam
758	DMS-53							/nfs/cancer_trk0002/00000007/69642.bam.bai	bam bai
758	DOHH-2							/nfs/cancer_trk0010/00000033/104021.bam		bam
758	DOHH-2							/nfs/cancer_trk0007/00000024/104022.bam.bai	bam bai
758	DoTc2-4510						/nfs/cancer_trk0007/00000024/87755.bam		bam
758	DoTc2-4510						/nfs/cancer_trk0007/00000023/87756.bam.bai	bam bai
758	DU-4475							/nfs/cancer_trk0009/00000030/103813.bam		bam
758	DU-4475							/nfs/cancer_trk0007/00000024/103814.bam.bai	bam bai
758	EB2							/nfs/cancer_trk0010/00000031/103991.bam		bam
758	EB2							/nfs/cancer_trk0009/00000029/103992.bam.bai	bam bai
758	EB-3							/nfs/cancer_trk0010/00000031/103993.bam		bam
758	EB-3							/nfs/cancer_trk0007/00000024/103994.bam.bai	bam bai
758	ECC10							/nfs/cancer_trk0007/00000024/103716.bam		bam
758	ECC10							/nfs/cancer_trk0007/00000024/103717.bam.bai	bam bai
758	ECC12							/nfs/cancer_trk0007/00000024/103718.bam		bam
758	ECC12							/nfs/cancer_trk0007/00000024/103719.bam.bai	bam bai
758	EC-GI-10						/nfs/cancer_trk0010/00000031/103636.bam		bam
758	EC-GI-10						/nfs/cancer_trk0005/00000017/103637.bam.bai	bam bai
758	EFM-19							/nfs/cancer_trk0009/00000030/103823.bam		bam
758	EFM-19							/nfs/cancer_trk0009/00000030/103824.bam.bai	bam bai
758	EFM-192A						/nfs/cancer_trk0007/00000023/89553.bam		bam
758	EFM-192A						/nfs/cancer_trk0006/00000022/89554.bam.bai	bam bai
758	EGI-1							/nfs/cancer_trk0010/00000031/104063.bam		bam
758	EGI-1							/nfs/cancer_trk0009/00000030/104064.bam.bai	bam bai
758	EHEB							/nfs/cancer_trk0010/00000031/103979.bam		bam
758	EHEB							/nfs/cancer_trk0009/00000029/103980.bam.bai	bam bai
758	EKVX							/nfs/cancer_trk0007/00000023/87657.bam		bam
758	EKVX							/nfs/cancer_trk0007/00000023/87658.bam.bai	bam bai
758	EM-2							/nfs/cancer_trk0010/00000033/104043.bam		bam
758	EM-2							/nfs/cancer_trk0007/00000024/104044.bam.bai	bam bai
758	EN							/nfs/cancer_trk0007/00000023/87649.bam		bam
758	EN							/nfs/cancer_trk0006/00000022/87650.bam.bai	bam bai
758	EPLC-272H						/nfs/cancer_trk0007/00000024/89533.bam		bam
758	EPLC-272H						/nfs/cancer_trk0006/00000022/89534.bam.bai	bam bai
758	ES1							/nfs/cancer_trk0006/00000022/86697.bam		bam
758	ES1							/nfs/cancer_trk0006/00000022/86698.bam.bai	bam bai
758	ES-2							/nfs/cancer_trk0007/00000023/87595.bam		bam
758	ES-2							/nfs/cancer_trk0007/00000023/87596.bam.bai	bam bai
758	ES3							/nfs/cancer_trk0006/00000022/86705.bam		bam
758	ES3							/nfs/cancer_trk0006/00000022/86706.bam.bai	bam bai
758	ES4							/nfs/cancer_trk0007/00000024/86667.bam		bam
758	ES4							/nfs/cancer_trk0006/00000022/86668.bam.bai	bam bai
758	ES5							/nfs/cancer_trk0006/00000022/86659.bam		bam
758	ES5							/nfs/cancer_trk0006/00000022/86660.bam.bai	bam bai
758	ES7							/nfs/cancer_trk0006/00000022/86661.bam		bam
758	ES7							/nfs/cancer_trk0006/00000022/86662.bam.bai	bam bai
758	ES8							/nfs/cancer_trk0006/00000022/86665.bam		bam
758	ES8							/nfs/cancer_trk0006/00000022/86666.bam.bai	bam bai
758	EVSA-T							/nfs/cancer_trk0009/00000030/103815.bam		bam
